Name,Team,Level,GP,G,A,P
BradenChiu,SanMateoBlackStars,10BB,28,1,4,5,0
ZacharyESokol,SanMateoBlackStars,10BB,26,15,12,27,0
GiacomoLMarchioni,SanMateoBlackStars,10BB,29,4,8,12,0
WilliamSStevenson,SanMateoBlackStars,10BB,29,19,13,32,0
JamesLNagle,SanMateoBlackStars,10BB,31,12,12,24,0
TylerJUngerman,SanMateoBlackStars,10BB,31,13,18,31,0
JamieMNatali,SanMateoBlackStars,10BB,31,21,12,33,0
LiamSNiu,SanMateoBlackStars,10BB,31,8,9,17,0
EricCYuen,SanMateoBlackStars,10BB,29,1,6,7,0
ThomasShimizu,SanMateoBlackStars,10BB,31,30,15,45,0
JackKAlbrecht,SantaRosaFlyers,10BB,12,0,1,1,10
TheodoreJDay,SantaRosaFlyers,10BB,19,7,3,10,0
AidenBurke,SantaRosaFlyers,10BB,1,0,1,1,0
MatteoDEngles,SantaRosaFlyers,10BB,22,14,6,20,0
JulianCCasano,SantaRosaFlyers,10BB,20,1,4,5,0
EdwinFJetleb,SantaRosaFlyers,10BB,22,12,9,21,0
MayeulCatelin,SantaRosaFlyers,10BB,19,9,4,13,0
CamdenAMills,SantaRosaFlyers,10BB,9,8,3,11,11
DanielChang,SantaRosaFlyers,10BB,22,12,3,15,0
RussaBassine,SanFranciscoSabercats,10B,9,4,1,5,14
ElliottJMaggiotto,SanFranciscoSabercats,10B,22,8,12,20,0
MarcRBorzoni,SanFranciscoSabercats,10B,24,2,8,10,0
ZacharyElias,SanFranciscoSabercats,10B,24,5,8,13,0
EthanANgo,SanFranciscoSabercats,10B,24,14,7,21,0
LaithElkadri,SanFranciscoSabercats,10B,24,31,11,42,0
AlessandraRemedios,SanFranciscoSabercats,10B,8,2,4,6,13
ConorDGrieb,SanFranciscoSabercats,10B,24,4,4,8,0
JeddHSo,SanFranciscoSabercats,10B,22,7,2,9,0
KadenJKronenberger,SanFranciscoSabercats,10B,23,5,9,14,0
MartinJLevy,SanFranciscoSabercats,10B,23,5,10,15,0
TejasStrand,SanFranciscoSabercats,10B,24,2,11,13,0
CooperRLewis,SanFranciscoSabercats,10B,23,6,9,15,0
KellanRAllen,LakeTahoeGrizzlies,10B,24,12,4,16,0
SydneyJHenning,LakeTahoeGrizzlies,10B,23,0,7,7,0
CarsonVBassett,LakeTahoeGrizzlies,10B,24,24,15,39,0
MatthewAKlym,LakeTahoeGrizzlies,10B,23,12,19,31,0
MilesPColeman,LakeTahoeGrizzlies,10B,20,0,1,1,0
JosefRProchazka,LakeTahoeGrizzlies,10B,23,3,4,7,0
FoxADial,LakeTahoeGrizzlies,10B,23,2,2,4,0
KiarraMProchazka,LakeTahoeGrizzlies,10B,23,0,4,4,0
ColterLRobertson,LakeTahoeGrizzlies,10B,22,2,3,5,0
DolgoonEnkhbayar,LakeTahoeGrizzlies,10B,18,4,7,11,0
AlexanderJEvans,LakeTahoeGrizzlies,10B,22,3,3,6,0
RylandSWright,LakeTahoeGrizzlies,10B,24,34,15,49,0
SpencerMBell,VacavilleJets,10BB,22,3,7,10,0
JilianAKlein,VacavilleJets,10BB,22,14,9,23,0
RyderXBlouin,VacavilleJets,10BB,21,8,4,12,0
NigelJBoswell,VacavilleJets,10BB,22,8,15,23,0
SeanMPeppersJohnson,VacavilleJets,10BB,10,15,4,19,0
SennaFHofmann,VacavilleJets,10BB,22,5,10,15,0
OwenBProvencher,VacavilleJets,10BB,8,2,4,6,12
NinaSJawale,VacavilleJets,10BB,21,1,5,6,0
NathanCRondoni,VacavilleJets,10BB,22,3,14,17,0
BrendanRKeskull-Moffatt,VacavilleJets,10BB,22,6,6,12,0
PhalanxHSchwab,VacavilleJets,10BB,22,4,13,17,0
NolanJKinder,VacavilleJets,10BB,22,57,15,72,0
CalebITarter,VacavilleJets,10BB,9,8,6,14,13
AidanYBurke,SantaRosaFlyers,10BB,21,0,5,5,0
ElliottJFrieseke,SantaRosaFlyers,10BB,21,1,2,3,0
ZacharyDCruz,SantaRosaFlyers,10BB,21,0,1,1,0
KianJKomposch,SantaClaraBlackhawks,10A,26,14,18,32,0
MichaelRAckerman,SantaClaraBlackhawks,10A,25,10,9,19,1
ElijahSManlucu,SantaClaraBlackhawks,10A,23,6,15,21,0
RomanAAzaletskiy,SantaClaraBlackhawks,10A,20,9,17,26,0
IrisYWang,SantaClaraBlackhawks,10A,25,4,8,12,0
EileenCCallahan,SantaClaraBlackhawks,10A,26,1,3,4,0
AustinDZhao,SantaClaraBlackhawks,10A,24,4,1,5,0
AdeleLDing,SantaClaraBlackhawks,10A,25,2,5,7,0
BraydenHFaulhaber,SantaClaraBlackhawks,10A,22,46,34,80,0
EthanAZuvela,SantaClaraBlackhawks,10A,25,28,21,49,0
StevenTKhonroo,SantaClaraBlackhawks,10A,26,43,36,79,0
AlbertLi,CupertinoCougars,10A,20,4,6,10,0
KyleRChen,CupertinoCougars,10A,21,0,1,1,0
AlexanderPMackenzie,CupertinoCougars,10A,20,0,1,1,0
DevinMDavis,CupertinoCougars,10A,21,3,1,4,0
LouisJMiyata,CupertinoCougars,10A,21,10,10,20,0
LeviKSalverson,CupertinoCougars,10A,20,11,3,14,0
DennisFrenkel,CupertinoCougars,10A,20,0,0,0,0
LeonardoSSebastianIii,CupertinoCougars,10A,21,10,5,15,0
SoichiroEHattori-Roels,CupertinoCougars,10A,21,2,4,6,0
AttilaSzabo,CupertinoCougars,10A,3,0,0,0,18
MateoTHemchand,CupertinoCougars,10A,21,2,1,3,0
TylerXYu,CupertinoCougars,10A,21,6,4,10,0
ChristopherELamfalusi,CupertinoCougars,10A,21,3,2,5,0
EvanMYuan,CupertinoCougars,10A,19,3,0,3,0
BrockTAleschus,CapitalThunder,10A,23,8,10,18,0
ChristopherAKhoury,CapitalThunder,10A,26,7,12,19,0
GavinBAnderson,CapitalThunder,10A,20,1,2,3,0
RyanKreuzer,CapitalThunder,10A,21,18,16,34,0
JordanAntar,CapitalThunder,10A,26,46,15,61,0
AlexanderJDennis,CapitalThunder,10A,25,3,8,11,0
BrandonJFeng,CapitalThunder,10A,26,14,8,22,0
CameronGRiddle,CapitalThunder,10A,22,2,3,5,0
JordanNFeng,CapitalThunder,10A,26,1,4,5,0
BostonVHeston-Rojas,CapitalThunder,10A,26,0,2,2,0
IvanMSanders,CapitalThunder,10A,26,0,3,3,0
JackLHord,CapitalThunder,10A,24,1,2,3,0
CarterMSmith,CapitalThunder,10A,26,3,10,13,0
AdamLKhayet,CapitalThunder,10A,25,5,9,14,0
MadelineLAllen,SanMateoBlackStars,10B,28,4,5,9,0
DominikLazar,SanMateoBlackStars,10B,9,20,5,25,5
DominikLazar,SanMateoBlackStars,10BB,7,7,7,14,0
RemyLCohn-Aronoff,SanMateoBlackStars,10B,24,11,9,20,0
DominicADellaChiesa,SanMateoBlackStars,10B,30,9,7,16,0
IvarMcritchie,SanMateoBlackStars,10B,27,5,11,16,0
AnthonyMNieves,SanMateoBlackStars,10B,30,25,14,39,0
TylerRFletcher,SanMateoBlackStars,10B,2,0,0,0,25
StanleyTang,SanMateoBlackStars,10B,27,4,4,8,0
EthanJHong,SanMateoBlackStars,10B,26,4,3,7,0
MatteoJTartaglia,SanMateoBlackStars,10B,29,3,3,6,0
WilliamJLang,SanMateoBlackStars,10B,27,16,12,28,0
CharlesHWeber,SanMateoBlackStars,10B,28,13,12,25,0
JakeJLanzavecchia,SanMateoBlackStars,10B,30,6,6,12,0
VicenteAlberolaAlmenara,FresnoJrMonsters,10BB,31,5,10,15,0
JamesonHRocha,FresnoJrMonsters,10BB,29,15,15,30,0
SachaJBaysal,FresnoJrMonsters,10BB,29,39,15,54,0
LodynLRueckel,FresnoJrMonsters,10BB,30,17,12,29,0
StuartGGraveline,FresnoJrMonsters,10BB,29,4,8,12,0
CalebJLee,FresnoJrMonsters,10BB,31,15,13,28,0
TylerRScott,FresnoJrMonsters,10BB,30,8,10,18,1
CamronAMarinakis,FresnoJrMonsters,10BB,2,0,0,0,25
ParkerSSpradling,FresnoJrMonsters,10BB,31,6,18,24,0
ReyanshNissankarao,FresnoJrMonsters,10BB,29,3,7,10,0
AustinLWallen,FresnoJrMonsters,10BB,30,3,6,9,0
NilsEOppliger,FresnoJrMonsters,10BB,31,2,3,5,0
MaverickEClark,StocktonColts,10A,24,30,27,57,0
LandonGCorcoran,StocktonColts,10A,21,8,20,28,0
DonovanTSoliven,StocktonColts,10A,24,6,9,15,0
ElleEDelgado,StocktonColts,10A,24,6,7,13,0
CrispuloGines,StocktonColts,10A,20,3,9,12,0
DarrianJStevens,StocktonColts,10A,22,2,8,10,0
JessicaLHolloway,StocktonColts,10A,19,1,1,2,5
JustusDTokheim,StocktonColts,10A,24,22,25,47,0
IzackAParsons,StocktonColts,10A,24,5,9,14,0
JulianMTorres,StocktonColts,10A,24,56,25,81,0
JhoshMAlvares,SanJoseJrSharks,10A-3,27,9,11,20,0
IliasGDefreitas,SanJoseJrSharks,10A-3,28,7,4,11,0
JaeminPark,SanJoseJrSharks,10A-3,27,33,17,50,0
ConnorJHues,SanJoseJrSharks,10A-3,27,12,8,20,0
GrantLImelli,SanJoseJrSharks,10A-3,27,13,9,22,0
AldenSPowell,SanJoseJrSharks,10A-3,26,2,8,10,0
DevinSJimenez,SanJoseJrSharks,10A-3,27,3,3,6,0
DrewMLarioza,SanJoseJrSharks,10A-3,27,35,25,60,0
JunhoSeo,OaklandBears,10B,26,15,6,21,0
JunhoSeo,SanJoseJrSharks,10A-3,9,5,8,13,0
JaxsonDLewin,SanJoseJrSharks,10A-3,28,9,14,23,0
AedanTNelson,SanJoseJrSharks,10A-3,28,14,8,22,0
CooperDSmith,SanJoseJrSharks,10A-3,28,4,9,13,0
SpencerJWipf,SanJoseJrSharks,10A-3,28,1,4,5,0
LucaAdornato,TriValleyBlueDevils,10A-1,27,4,13,17,0
RussellLouie,TriValleyBlueDevils,10A-1,30,30,23,53,0
JamesTBellig,TriValleyBlueDevils,10A-1,29,31,14,45,0
CameronAMansell,TriValleyBlueDevils,10A-1,28,1,8,9,0
JustinMBuress,TriValleyBlueDevils,10A-1,30,7,8,15,0
DylanDDecorra,TriValleyBlueDevils,10A-1,28,18,12,30,0
PabloRMolina,TriValleyBlueDevils,10A-1,30,3,9,12,0
ThomasXGiroux,TriValleyBlueDevils,10A-1,25,24,11,35,0
EvangelineSMount,TriValleyBlueDevils,10A-1,29,2,6,8,0
JoshuaAKessel,TriValleyBlueDevils,10A-1,29,5,10,15,0
ZakiLRaza,TriValleyBlueDevils,10A-1,30,5,6,11,0
JalaluddinKhawaja,TriValleyBlueDevils,10A-1,26,2,4,6,0
JacobJVukman,TriValleyBlueDevils,10A-1,30,1,4,5,0
TristanKCaptain,SanFranciscoSabercats,10A,27,7,15,22,0
DonovanMufson,SanFranciscoSabercats,10A,26,3,8,11,0
OscarECraven-Green,SanFranciscoSabercats,10A,29,4,7,11,0
ElijahOzawa,SanFranciscoSabercats,10A,29,4,6,10,0
RoscoeWFortier,SanFranciscoSabercats,10A,29,8,10,18,0
OliverPietras,SanFranciscoSabercats,10A,28,33,5,38,0
BridgerQuarles,SanFranciscoSabercats,10A,28,7,10,17,0
KyleGiang,SanFranciscoSabercats,10A,28,7,10,17,0
AveryRStonge,SanFranciscoSabercats,10A,29,29,16,45,0
CodyMMoulton,SanFranciscoSabercats,10A,28,8,8,16,0
JulianHWalsh,SanFranciscoSabercats,10A,29,4,11,15,0
LandonWBergman,TriValleyBlueDevils,10A-2,19,1,5,6,0
IsaiahAMaier,TriValleyBlueDevils,10A-2,24,15,6,21,0
SamuelBoutet,TriValleyBlueDevils,10A-2,25,11,4,15,0
