Name,Team,Level,GP,G,A,P
WestleyEBuchanan,StocktonColts,12A,24,2,6,8
ParkerBDrebert,StocktonColts,12A,22,18,15,33
Solomon-PaulMCheun,StocktonColts,12A,21,0,1,1
OwenCColao,StocktonColts,12A,22,18,8,26
RyderCFord,StocktonColts,12A,24,1,0,1
LiamPCorkery,StocktonColts,12A,23,0,0,0
MichaelJGuindon,StocktonColts,12A,24,2,2,4
JackHCrivelli,StocktonColts,12A,22,0,0,0
BenjaminLHarrell,StocktonColts,12A,23,7,4,11
KrosbieRDelgado,StocktonColts,12A,24,1,11,12
JohnFLongoIV,StocktonColts,12A,23,8,10,18
JeremyAMayes,StocktonColts,12A,24,4,3,7
HeathPDevelbiss,StocktonColts,12A,24,3,6,9
MerrillERobitaille,StocktonColts,12A,23,2,5,7
AlexanderLiu,SanJoseJrSharks,12A-1,34,1,4,5
MaximilianHCadil,SanJoseJrSharks,12A-1,35,2,3,5
RyanJMaisen,SanJoseJrSharks,12A-1,35,8,6,14
JesseChu,SanJoseJrSharks,12A-1,35,1,3,4
JonathanEMar,SanJoseJrSharks,12A-1,35,14,10,24
ZiqiMeng,SanJoseJrSharks,12A-1,35,21,12,33
LeviJGreenwood,SanJoseJrSharks,12A-1,34,7,5,12
PhillipDMueller,SanJoseJrSharks,12A-1,35,3,2,5
OwenLHannan,SanJoseJrSharks,12A-1,33,5,5,10
MarkOrlov,SanJoseJrSharks,12A-1,35,10,9,19
PaxsonKasper,SanJoseJrSharks,12A-1,35,0,0,0
OscarNPoupyrev,SanJoseJrSharks,12A-1,35,22,7,29
DaehweeKim,SanJoseJrSharks,12A-1,5,1,3,4
EishinSuhara,SanJoseJrSharks,12A-1,35,4,6,10
ArcherLi,SanJoseJrSharks,12A-1,35,1,9,10
LandonSutton,SanJoseJrSharks,12A-1,28,5,9,14
JacksonPAlberti,TriValleyBlueDevils,12A-1,24,3,3,6
EvangelineYJefferson,TriValleyBlueDevils,12A-1,6,0,0,0
EvangelineYJefferson,TriValleyLadyBlueDevils,12AAA,22,12,5,17
YimingPBeckmann,TriValleyBlueDevils,12A-1,26,21,9,30
MiaSBellomo,TriValleyBlueDevils,12A-1,18,1,3,4
MiaSBellomo,TriValleyLadyBlueDevils,12AAA,16,11,6,17
BryceAKaplenko,TriValleyBlueDevils,12A-1,27,6,9,15
SunghyunRCho,TriValleyBlueDevils,12A-1,28,10,4,14
CremerELewis,TriValleyBlueDevils,12A-1,28,0,5,5
HenryWGarner,TriValleyBlueDevils,12A-1,27,1,1,2
KevinJNewton,TriValleyBlueDevils,12A-1,26,0,1,1
AndreGore,TriValleyBlueDevils,12A-1,26,1,3,4
GriffinDPalbicki,TriValleyBlueDevils,12A-1,25,3,4,7
StellanHjelm,TriValleyBlueDevils,12A-1,28,2,1,3
HunterLScott,TriValleyBlueDevils,12A-1,21,6,5,11
GrantRHladun,TriValleyBlueDevils,12A-1,24,2,3,5
YichenHong,TriValleyBlueDevils,12A-1,27,0,1,1
ShaneVWeeck,TriValleyBlueDevils,12A-1,27,26,11,37
MilesJaffe,TriValleyBlueDevils,12A-1,26,9,13,22
CarstenMAnfinson,SantaRosaFlyers,12BB,26,0,7,7
WilliamTHudson,SantaRosaFlyers,12BB,27,0,0,0
IanJLopez,SantaRosaFlyers,12BB,25,5,4,9
LincolnJBilleter,SantaRosaFlyers,12BB,26,4,11,15
CyrilWPeay,SantaRosaFlyers,12BB,27,1,0,1
ThomasFPesch,SantaRosaFlyers,12BB,27,10,8,18
TylerJBruckbauer,SantaRosaFlyers,12BB,27,37,23,60
RyleeMPetterssen,TriValleyLadyBlueDevils,12AAA,6,4,5,9
RyleeMPetterssen,SantaRosaFlyers,12BB,23,27,12,39
ElliotCharest,SantaRosaFlyers,12BB,27,6,8,14
AbigailESombs,TriValleyLadyBlueDevils,12AAA,7,0,2,2
AbigailESombs,SantaRosaFlyers,12BB,24,3,14,17
LucasDeLoach,SantaRosaFlyers,12BB,27,5,8,13
ElizabethAStellema,SantaRosaFlyers,12BB,25,3,7,10
JosephEngles,SantaRosaFlyers,12BB,23,17,6,23
VictoriaLStellema,SantaRosaFlyers,12BB,25,0,0,0
JosephKGagnebin,SantaRosaFlyers,12BB,26,19,20,39
JohnFrancisHWhalen,SantaRosaFlyers,12BB,26,1,3,4
ConnorRBolan,CapitalThunder,12A,30,11,6,17
CarsonMEven,CapitalThunder,12A,32,18,10,28
WilliamRMcCuaig,CapitalThunder,12A,33,1,5,6
SamsonAFlores,CapitalThunder,12A,31,1,10,11
BradyKMoran,CapitalThunder,12A,33,15,9,24
LukasJHamilton,CapitalThunder,12A,33,3,8,11
ClintROates,CapitalThunder,12A,33,32,26,58
JacksonEPowers,CapitalThunder,12A,33,9,8,17
LoganLapsley,CapitalThunder,12A,33,0,0,0
RexGVryheid,CapitalThunder,12A,32,24,18,42
NoahJWard,CapitalThunder,12A,32,4,8,12
HaleyMMartinez,CapitalThunder,12A,29,0,2,2
HaleyMMartinez,TriValleyLadyBlueDevils,12AAA,13,2,5,7
JohnHWillms,CapitalThunder,12A,27,10,14,24
XavierKMarshall,SanFranciscoSabercats,12A,26,0,0,0
TristanDBercovitch,SanFranciscoSabercats,12A,18,5,1,6
AtlasUErol,SanFranciscoSabercats,12A,25,4,3,7
CassidyNg,SanFranciscoSabercats,12A,26,2,5,7
MacArioBIbarraTacdol,SanFranciscoSabercats,12A,26,5,2,7
HardyAPackard,SanFranciscoSabercats,12A,13,4,0,4
DohyunWKim,SanFranciscoSabercats,12A,26,10,5,15
JuliannaBReyes,TriValleyLadyBlueDevils,12AAA,12,2,3,5
JuliannaBReyes,SanFranciscoSabercats,12A,22,2,4,6
DoyulEKim,SanFranciscoSabercats,12A,24,0,3,3
RadhaCSmith,SanFranciscoSabercats,12A,26,0,2,2
TristanLei,SanFranciscoSabercats,12A,25,0,1,1
CameronJMacMillan,SanFranciscoSabercats,12A,24,7,5,12
EnzoOWhite,SanFranciscoSabercats,12A,26,15,7,22
DylanBersamina,CapitalThunder,12B,23,15,4,19
ThomasDGoshko,CapitalThunder,12B,24,1,4,5
TateMBowman,CapitalThunder,12B,24,3,4,7
HunterELusk-Haney,CapitalThunder,12B,24,11,12,23
GavinDMacKinnon,CapitalThunder,12B,23,15,16,31
BenicioECaceres,CapitalThunder,12B,22,39,10,49
TheodoreBNewton,CapitalThunder,12B,24,7,13,20
LukeCaulfield,CapitalThunder,12B,23,0,0,0
LandonPDouglas,CapitalThunder,12B,24,6,6,12
SpencerJSeacrist,CapitalThunder,12B,22,12,8,20
CarsonJFisher,CapitalThunder,12B,24,10,11,21
CaydenJSlinkard,CapitalThunder,12B,23,10,6,16
RylanSGamache,CapitalThunder,12B,23,5,14,19
EmiliaWall,CapitalThunder,12B,23,4,10,14
JudeDBarajas,FresnoJrMonsters,12BB,25,11,10,21
LukeMacEdo,FresnoJrMonsters,12BB,25,10,17,27
JakeBertao,FresnoJrMonsters,12BB,25,5,5,10
ZairenCMecartea,FresnoJrMonsters,12BB,25,21,17,38
GraydonJGraveline,FresnoJrMonsters,12BB,18,3,5,8
GarikTMoore,FresnoJrMonsters,12BB,25,0,5,5
HunterRGreene,FresnoJrMonsters,12BB,24,4,0,4
SuyinSMoua,FresnoJrMonsters,12BB,23,0,0,0
JamesonAHutchens,FresnoJrMonsters,12BB,25,2,13,15
MatthewWHutchison,FresnoJrMonsters,12BB,21,1,2,3
ZakirAPailing,FresnoJrMonsters,12BB,25,0,4,4
JoshuaPKnapp,FresnoJrMonsters,12BB,25,14,11,25
PresleyAScott,FresnoJrMonsters,12BB,24,0,0,0
AnthonyTKocab,FresnoJrMonsters,12BB,24,6,6,12
MichaelSpane,FresnoJrMonsters,12BB,24,4,10,14
ColtonVanbragt,FresnoJrMonsters,12BB,24,0,0,0
OwenJLundgren,FresnoJrMonsters,12BB,23,10,12,22
AlexanderMBrower,VacavilleJets,12B,27,0,0,0
LucasCLaroche,VacavilleJets,12B,27,27,10,37
LeviJCaples,VacavilleJets,12B,27,18,13,31
JaggerRParker,VacavilleJets,12B,17,17,9,26
ColtonJReese,VacavilleJets,12B,27,25,16,41
RyderADial,VacavilleJets,12B,25,0,4,4
ParkerSandoval,VacavilleJets,12B,27,3,5,8
AudreyLEchevarria,VacavilleJets,12B,26,2,4,6
GiannaMSchiavone,VacavilleJets,12B,26,3,4,7
AnishSJawale,VacavilleJets,12B,27,0,5,5
NolanLTorres,VacavilleJets,12B,27,3,2,5
VarvaraKabenina,VacavilleJets,12B,22,0,4,4
WillemPTsang,VacavilleJets,12B,26,17,12,29
MaksimKuznetsov,VacavilleJets,12B,20,0,0,0
EnriqueJZamora-Bryant,VacavilleJets,12B,21,2,5,7
OliviaGZawisza,VacavilleJets,12B,21,1,1,2
WyattMBest,RenoIce,12A,25,22,10,32
KellenWLimbert,RenoIce,12A,25,1,3,4
BrendanRChambers,RenoIce,12A,22,0,3,3
NolanMMcCaulley,RenoIce,12A,25,11,4,15
LiamMColonna,RenoIce,12A,25,2,1,3
ConnorADieffenbach,RenoIce,12A,25,2,3,5
DylanDOlenic,RenoIce,12A,23,1,4,5
EmiErlach,RenoIce,12A,24,3,7,10
VanceDRowan,RenoIce,12A,25,20,11,31
EverettJFriedlander,RenoIce,12A,24,13,5,18
CameronSimanowski,RenoIce,12A,25,0,0,0
FinnHadden,RenoIce,12A,25,0,4,4
KodyThompson,RenoIce,12A,8,0,0,0
LincolnRIsbell,RenoIce,12A,25,4,7,11
KnoxJohnson,RenoIce,12A,24,6,4,10
SantoDLauer,RenoIce,12A,24,4,6,10
ElliottJTousignant,RenoIce,12A,25,10,9,19
EthanNLee,CapitalThunder,12A,26,10,6,16
EthanNLee,RenoIce,12A,3,1,2,3
VincenzoJBrezzo,SanJoseJrSharks,12BB,30,15,14,29
AustynLKosmynka,SanJoseJrSharks,12BB,19,0,0,0
MarvinHChen,SanJoseJrSharks,12BB,31,8,2,10
CooperGEastman,SanJoseJrSharks,12BB,32,0,9,9
NauioselotlsinIMartinez,SanJoseJrSharks,12BB,33,17,11,28
ElenaAKarlin,SanJoseJrSharks,12BB,33,2,4,6
FelixBRoe,SanJoseJrSharks,12BB,30,9,14,23
RyanKashkooli,SanJoseJrSharks,12BB,32,35,9,44
DanielJRussell,SanJoseJrSharks,12BB,28,28,6,34
SidneyMKent,SanJoseJrSharks,12BB,30,5,4,9
JackBSerpa,SanJoseJrSharks,12BB,31,10,9,19
NaokiAKogawa,SanJoseJrSharks,12BB,31,0,6,6
MadelinYang,SanJoseJrSharks,12BB,21,0,0,0
GraceKKoselak,SanJoseJrSharks,12BB,32,6,10,16
CristosSArreguin,CupertinoCougars,12BB,24,0,5,5
RachelJHong,CupertinoCougars,12BB,25,0,3,3
SamuelGBarsky,CupertinoCougars,12BB,25,29,17,46
AndrewHung,CupertinoCougars,12BB,25,0,1,1
DesmondJBurbank,CupertinoCougars,12BB,25,9,6,15
ColtonAJones,CupertinoCougars,12BB,22,15,11,26
DaltonDBurke,CupertinoCougars,12BB,25,5,7,12
BrodyCChaves,CupertinoCougars,12BB,21,6,5,11
EverettMok,CupertinoCougars,12BB,25,2,4,6
KassidyMDellaChiesa,CupertinoCougars,12BB,24,1,4,5
DouglasATilney,CupertinoCougars,12BB,24,6,2,8
PatrickLTilney,CupertinoCougars,12BB,25,16,15,31
RhysQDibble,CupertinoCougars,12BB,25,0,1,1
ShaneWu,CupertinoCougars,12BB,25,5,5,10
DylanBGameng,CupertinoCougars,12BB,21,1,1,2
KevinKZhao,CupertinoCougars,12BB,25,4,7,11
MatthewMGrigorovitch,CupertinoCougars,12BB,24,0,0,0
VioletEAdams,OaklandBears,12BB,12,0,0,0
HugoKChun,OaklandBears,12BB,22,4,3,7
EmmaRStauffer,OaklandBears,12BB,22,0,0,0
LukeWDugdale,OaklandBears,12BB,20,1,0,1
KoenStorms,OaklandBears,12BB,21,1,4,5
ZefStorms,OaklandBears,12BB,22,4,2,6
GavinMGordon,OaklandBears,12BB,22,1,0,1
HuslenHUnurjargal,OaklandBears,12BB,24,0,0,0
JacobJJaber,OaklandBears,12BB,24,6,7,13
