Name,Team,Level,GP,G,A,P
ConnorAycock,SanJoseJrSharks,12A-1,25,5,3,8
RoninKolb,SanJoseJrSharks,12A-1,1,0,0,0
AriBovermanFitzpatrick,SanJoseJrSharks,12A-1,1,0,1,1
EliMolyneaux,SanJoseJrSharks,12A-1,1,0,0,0
MorganKCurlee,SanJoseJrSharks,12A-1,1,1,0,1
JackSerpa,SanJoseJrSharks,12A-1,1,0,0,0
OwenGarcia,SanJoseJrSharks,12A-1,1,0,0,0
AnthonyTaormino,SanJoseJrSharks,12A-1,1,0,0,0
MasonGartin,SanJoseJrSharks,12A-1,1,0,0,0
MatthewGrigorovitch,SanJoseJrSharks,12A-1,1,0,0,0
NolanJohnston-Lee,SanJoseJrSharks,12A-1,1,0,0,0
AndrewVantassell,SanJoseJrSharks,12A-1,1,0,0,0
TrevorDKnize,SanJoseJrSharks,12A-1,24,6,2,8
ZhongyangYin,SanJoseJrSharks,12A-1,24,4,0,4
TimothyChan,CupertinoCougars,12A,30,0,1,1
RaidenCReynolds,CupertinoCougars,12A,30,10,10,20
LilianaMClark,CupertinoCougars,12A,30,5,4,9
ElliotRizvi,CupertinoCougars,12A,1,2,0,2
TrinityDejelo,CupertinoCougars,12A,1,0,0,0
GannonSmith,CupertinoCougars,12A,1,0,0,0
CadenAHoyer,CupertinoCougars,12A,26,12,4,16
GiuliaPSmith,CupertinoCougars,12A,28,13,7,20
YotaroCKuwajima,CupertinoCougars,12A,6,0,0,0
YotaroCKuwajima,CupertinoCougars,12BB,16,1,2,3
JulianRUngar-Salazar,CupertinoCougars,12A,29,2,2,4
SeanKLepler,CupertinoCougars,12A,30,12,10,22
MofanWang,CupertinoCougars,12A,30,5,8,13
CorinneLucas,CupertinoCougars,12A,1,1,0,1
AaronZetter,CupertinoCougars,12A,1,2,0,2
LachlanMauger,CupertinoCougars,12A,1,0,0,0
VictorWZhang,CupertinoCougars,12A,31,8,11,19
KaiMowen,CupertinoCougars,12A,1,0,0,0
ElwenMZhao,CupertinoCougars,12A,31,7,8,15
NicholasMyagkov,CupertinoCougars,12A,30,8,6,14
GabrielAArreguin,CupertinoCougars,12BB,20,1,0,1
DannyKremnitser,CupertinoCougars,12BB,17,0,0,0
EthanBei,CupertinoCougars,12BB,17,3,3,6
HenrySLonnemann,CupertinoCougars,12BB,19,0,1,1
JaydenBei,CupertinoCougars,12BB,19,9,4,13
DesmondJBurbank,CupertinoCougars,12BB,20,1,1,2
WesleyMShen,CupertinoCougars,12BB,21,26,14,40
DaltonDBurke,CupertinoCougars,12BB,21,1,3,4
KeiraAShimizu,CupertinoCougars,12BB,21,15,8,23
AydenChou,CupertinoCougars,12BB,21,6,8,14
JosieDTanabe,CupertinoCougars,12BB,21,8,11,19
JiahuiGao,CupertinoCougars,12BB,1,0,0,0
PatrickLTilney,CupertinoCougars,12BB,19,5,2,7
MadelynnHHaro,CupertinoCougars,12BB,21,4,2,6
WyattCWitkin,CupertinoCougars,12BB,21,4,2,6
RachelJHong,CupertinoCougars,12BB,20,1,0,1
Li-AnYe,CupertinoCougars,12BB,11,2,5,7
JacksonPAlberti,TriValleyBlueDevils,12BB,22,8,2,10
ConnorFedun,TriValleyBlueDevils,12BB,21,6,1,7
YimeiBeckmann,TriValleyBlueDevils,12BB,22,0,0,0
AndreGore,TriValleyBlueDevils,12BB,22,0,1,1
YimingPBeckmann,TriValleyBlueDevils,12BB,22,18,6,24
AlexandreEHaddad,TriValleyBlueDevils,12BB,21,0,0,0
MiaSBellomo,TriValleyBlueDevils,12BB,20,0,1,1
SeanECaputo,TriValleyBlueDevils,12BB,20,0,1,1
TurnerDMandell,TriValleyBlueDevils,12BB,22,4,7,11
CalebSCardillo,TriValleyBlueDevils,12BB,5,0,0,0
ChaseGCooley,TriValleyBlueDevils,12BB,16,0,1,1
OwenAMansell,TriValleyBlueDevils,12BB,22,1,1,2
HarlanOlsen,TriValleyBlueDevils,12A-1,21,9,10,19
HarlanOlsen,TriValleyBlueDevils,12BB,2,3,0,3
KyleSEnrile,TriValleyBlueDevils,12BB,22,4,2,6
NoahHSmith,TriValleyBlueDevils,12BB,13,0,0,0
TrinityKDejelo,CupertinoCougars,12A,30,1,8,9
ElliottCRizvi,CupertinoCougars,12A,27,13,3,16
GannonHSmith,CupertinoCougars,12A,30,23,11,34
CorinneMLucas,CupertinoCougars,12A,30,1,4,5
AaronMZetter,CupertinoCougars,12A,28,6,2,8
LachlanOMauger,CupertinoCougars,12A,30,0,0,0
KaiCMowen,CupertinoCougars,12A,29,6,4,10
EasonCao,TriValleyBlueDevils,12A-1,29,4,10,14
CarlyCruce,TriValleyBlueDevils,12A-1,25,2,5,7
GrantRHladun,TriValleyBlueDevils,12A-1,30,7,13,20
