Name,Team,Level,GP,G,A,P
JoshuaTBrown,StocktonColts,10A,3,0,0,0,28
OrrinBNelsonIV,StocktonColts,10A,31,4,14,18,0
CampbellMDelgado,StocktonColts,10A,25,1,5,6,2
JerelMcKoyGines,StocktonColts,10A,30,3,6,9,0
PhillipDParsons,StocktonColts,10A,31,10,15,25,0
CarterJSanders,StocktonColts,10A,31,28,24,52,0
RyanJHazelwood,StocktonColts,10A,31,2,12,14,0
CameronJJones,StocktonColts,10A,31,5,12,17,0
NicholasVanyushkin,StocktonColts,10A,29,17,24,41,0
KoltenLindgren,StocktonColts,10A,31,2,5,7,0
PavelVoylov,StocktonColts,10A,30,38,17,55,0
TrevorJLolla,StocktonColts,10A,31,9,8,17,0
RomanVoylov,StocktonColts,10A,29,45,15,60,0
RyanBruckbock,TriValleyBlueDevils,10A-2,21,4,2,6,0
AidanLechner,TriValleyBlueDevils,10A-2,23,7,4,11,0
KeeganTCrudale,TriValleyBlueDevils,10A-2,23,9,5,14,0
BrendanTNorrett,TriValleyBlueDevils,10A-2,21,6,5,11,0
JacksonEElliott,TriValleyBlueDevils,10A-2,2,1,0,1,21
RodinCRassai,TriValleyBlueDevils,10A-2,22,1,2,3,0
BrennanFedun,TriValleyBlueDevils,10A-2,21,1,3,4,0
JeromeKSmet,TriValleyBlueDevils,10A-2,20,1,2,3,0
JasonTFeinberg,TriValleyBlueDevils,10A-2,22,16,6,22,0
SimonATeames,TriValleyBlueDevils,10A-2,21,6,4,10,0
JaxsonCFuentes,TriValleyBlueDevils,10A-2,23,6,2,8,0
TobiasSWu,TriValleyBlueDevils,10A-2,22,1,8,9,1
MatthewBHua,TriValleyBlueDevils,10A-2,22,13,10,23,1
MishkaAgrawal,TriValleyBlueDevils,10B,20,0,3,3,0
WayneLMartinez,TriValleyBlueDevils,10B,19,19,8,27,0
SumeetAgrawal,TriValleyBlueDevils,10B,9,0,0,0,0
SophiaINapolitano,TriValleyBlueDevils,10B,21,0,4,4,0
SamiyahBrown,TriValleyBlueDevils,10B,21,0,0,0,0
LeviAPrater,TriValleyBlueDevils,10B,18,15,4,19,1
JosephLChin,TriValleyBlueDevils,10B,20,9,4,13,1
AparajithSrikkanth,TriValleyBlueDevils,10B,9,1,0,1,11
DavidADeLegarra,TriValleyBlueDevils,10B,21,2,2,4,0
EvelynJJeffers,TriValleyBlueDevils,10B,20,0,4,4,0
EvelynJJeffers,TriValleyLadyBlueDevils,10B,14,0,2,2,0
KeeganSweeney,TriValleyBlueDevils,10B,20,0,1,1,0
StevenYLiu,TriValleyBlueDevils,10B,1,0,0,0,18
DylanVergara,TriValleyBlueDevils,10B,20,2,3,5,0
JudeSAndaverde,FresnoJrMonsters,10BB,23,2,10,12,0
BodeRLeopold,FresnoJrMonsters,10BB,24,2,9,11,0
TitusAtalima,FresnoJrMonsters,10BB,24,2,8,10,0
HenryALickey,FresnoJrMonsters,10BB,23,26,21,47,0
JacobBernstein,FresnoJrMonsters,10BB,22,67,26,93,0
WallaceWMiner,FresnoJrMonsters,10BB,23,3,12,15,0
DeclanRCalzada,FresnoJrMonsters,10BB,23,1,7,8,0
JaceHPerry,FresnoJrMonsters,10BB,24,2,5,7,0
DylanJCooper,FresnoJrMonsters,10BB,24,34,21,55,0
JaxsonNRatliff,FresnoJrMonsters,10BB,24,48,26,74,0
JeremiahTamayo,FresnoJrMonsters,10BB,20,6,18,24,0
NolanMHardy,FresnoJrMonsters,10BB,21,5,9,14,0
EmilyTodd,FresnoJrMonsters,10BB,23,6,7,13,0
AidenBartlett-Wayne,VacavilleJets,10BB,25,11,5,16,0
HaroldPHarper,VacavilleJets,10BB,20,0,2,2,0
DylanKish,VacavilleJets,10BB,25,18,7,25,0
WyattOCamba,VacavilleJets,10BB,6,13,2,15,18
GarrettEMitchell,VacavilleJets,10BB,24,0,6,6,0
MaverickJChurchman,VacavilleJets,10BB,25,3,2,5,0
MilesAMoralez,VacavilleJets,10BB,25,13,12,25,0
RenzoGDeLeon,VacavilleJets,10BB,25,3,5,8,0
OwenShafer,VacavilleJets,10BB,25,1,2,3,0
DonovanJEden,VacavilleJets,10BB,24,3,1,4,0
MadisonLSutherland,VacavilleJets,10BB,25,3,9,12,0
BenjaminJGetchell,VacavilleJets,10BB,17,1,0,1,8
AshSWaddell,VacavilleJets,10BB,25,18,12,30,0
SeanPHalpin,VacavilleJets,10BB,21,35,14,49,0
RylandBLain,RenoIce,10A,21,3,5,8,0
TorrinJBarrett,RenoIce,10A,19,10,5,15,0
JacobMunoz,RenoIce,10A,21,5,6,11,0
SpencerEBuckley,RenoIce,10A,21,2,11,13,0
IanKOttosen,RenoIce,10A,20,2,5,7,0
CamdenMDurham,RenoIce,10A,21,9,3,12,0
LinusErlach,RenoIce,10A,20,2,2,4,0
ZavierShmyr,RenoIce,10A,17,4,4,8,0
TrevorHadden,RenoIce,10A,21,2,1,3,0
PaxtonHartman,RenoIce,10A,19,1,1,2,0
